Code	Office location	Jurisdiction area	Annotations
KL-01	Thiruvananthapuram	Thiruvananthapuram Corporation, Thiruvananthapuram Taluk Southern Areas	Most Kerala Government vehicles, including Police and Motor Vehicle Departments, are registered here.
KL-02	Kollam	Kollam corporation, Tirumullavaram, Shaktikulangara, Anandavalleeswaram, Chinnakada, Kadapakkada, Meevaram, Kottiyam, Kundara, Kannanalloor, Adichanalloor, Paravur	
KL-03	Pathanamthitta	Pathanamthitta City, Kaipattoor, Omallur, Malayalapuzha, Mylapra, Naranganam, Sabarigiri, Aranmula, Kozhencherri	
KL-04	Alappuzha	Alappuzha city, Ambalappuzha, Aryad, Komalapuram, Kommadi, Polathai, Thumboli, Punnapra, Kalavur, Ananthanarayanapuram	
KL-05	Kottayam	Kottayam city, Kodimatha, Manarcaud, Pampady, Tirunnakara, Nattakam, Tiruvarppu, Tiruvathikkal, Sankranthi, Vijayapuram, Pallickathodu	
KL-06	Idukki	Idukki, Painav	
KL-07	Kochi, Ernakulam District.	Kochi Corporation Area, Kalamaserry, Kakkanad, Kochi SEZ, Thrikkakara, Info Park, Smart City, Thiruvankulam, Brahmapuram	Covers parts of Greater Kochi, including those outside Kochi Corporation limits	
KL-08	Thrissur	Thrissur Corporation, Ollur, Kuriachira, Ammaddam, Ramavarmapuram, Parvattani, Kuttanellur	
KL-09	Palakkad	Palakkad city, Kallepully, Kannadi, Mundur, Kanjikode, Pathirippala, Kongad	
KL-10	Malappuram (part of Ernad, Perintalmanna & Tirur Taluks)	Malappuram, Manjeri, Anakkayam, Pookkoottor, Kavanur, Pulpetta, Edavanna, Pandikkad, Thrikkalangode, Koottilangadi, Kodur, Ponmala	
KL-11	Kozhikode	Kozhikode North, Kozhikode South, Elathur, Peruvazhal, Mavoor	
KL-12	Kalpetta, Wayanad District	Kalpetta Township, Chitragiri, Vythiri	
KL-13	Kannur	Kannur corporation, Valapattanam, Papinnisheri, Kannapuram, Dharmadam, Parashinikadavu	
KL-14	Kasaragod	Kasaragod, Chandragiri, Manjeshwaram, Uppala, Mogral Puttur, Kumbla	
KL-15	Kerala State Road Transport Corporation, Thiruvananthapuram	Used exclusively for KSRTC and KURTC buses	
KL-16	Attingal, Thiruvananthapuram District	Chirayinkeezhu Taluk	
KL-17	Muvattupuzha, Ernakulam District	Muvattupuzha, Vazhakulam, Koothattukulam, Piravom	
KL-18	Vadakara, Kozhikode District	Vadakara, Nadapuram	
KL-19	Parassala, Thiruvananthapuram District	Padmanabhapuram, Tiruvattar, Tiruparappu, Kulasekaram, Amaravilla, Dhanuvachapuram, Marthandam Poovaar	
KL-20	Neyyattinkara, Thiruvananthapuram District	Neyyathinkara, Balaramapuram, Vedivachankovil, Pravachambalam, Pallichal	
KL-21	Nedumangad, Thiruvananthapuram District	Nedumangad, Arruvikara, Bhartheeswaram, Palode, Vithura, Ponmudi, Karakulam, Perrorkada	
KL-22	Kazhakkoottam, Thiruvananthapuram	Thiruvananthapuram Corporation, Thiruvananthapuram Taluk Northern Areas		
KL-23	Karunagappalli, Kollam District	Karunagapalli, Oachira, Mynagapalli, Chavara, Amrithapuri, Thazhava, Paavumba	
KL-24	Kottarakkara, Kollam District	Kottarakara, Malanada, Enathu, Pavitreeswaram, Chengamanad. Mavadi	
KL-25	Punalur, Kollam District	Punalur, Thenmala, Aryankavu, Bhagavathipuram, Anchal, Achankovil	
KL-26	Adoor, Pathanamthitta District	Adoor Taluk	
